2017/12/01 15:06:52 [error] 12323#0: *1 open() "/root/git/GOF_platform/gametest/static" failed (13: Permission denied), client: 121.250.223.29, server: localhost, request: "GET /static HTTP/1.1", host: "106.14.125.177"
2017/12/01 15:07:00 [error] 12323#0: *10 open() "/root/git/GOF_platform/gametest/statics/images/button1.png" failed (13: Permission denied), client: 121.250.223.29, server: localhost, request: "GET /statics/images/button1.png HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 15:07:00 [error] 12323#0: *9 open() "/root/git/GOF_platform/gametest/statics/images/user.png" failed (13: Permission denied), client: 121.250.223.29, server: localhost, request: "GET /statics/images/user.png HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 15:07:00 [error] 12323#0: *7 open() "/root/git/GOF_platform/gametest/statics/js/jquery-3.1.1.min.js" failed (13: Permission denied), client: 121.250.223.29, server: localhost, request: "GET /statics/js/jquery-3.1.1.min.js HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 15:07:00 [error] 12323#0: *8 open() "/root/git/GOF_platform/gametest/statics/js/common.js" failed (13: Permission denied), client: 121.250.223.29, server: localhost, request: "GET /statics/js/common.js HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 15:07:00 [error] 12323#0: *6 open() "/root/git/GOF_platform/gametest/statics/js/index.js" failed (13: Permission denied), client: 121.250.223.29, server: localhost, request: "GET /statics/js/index.js HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 15:07:00 [error] 12323#0: *1 open() "/root/git/GOF_platform/gametest/statics/style/index.css" failed (13: Permission denied), client: 121.250.223.29, server: localhost, request: "GET /statics/style/index.css HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 15:07:00 [error] 12323#0: *9 open() "/root/git/GOF_platform/gametest/statics/images/lock.png" failed (13: Permission denied), client: 121.250.223.29, server: localhost, request: "GET /statics/images/lock.png HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 15:07:34 [error] 12323#0: *9 open() "/root/git/GOF_platform/gametest/static" failed (13: Permission denied), client: 121.250.223.29, server: localhost, request: "GET /static HTTP/1.1", host: "106.14.125.177"
2017/12/01 15:10:13 [error] 12328#0: *1 open() "/root/git/GOF_platform/gametest/static" failed (13: Permission denied), client: 121.250.223.29, server: localhost, request: "GET /static HTTP/1.1", host: "106.14.125.177"
2017/12/01 15:10:15 [error] 12328#0: *1 open() "/root/git/GOF_platform/gametest/static" failed (13: Permission denied), client: 121.250.223.29, server: localhost, request: "GET /static HTTP/1.1", host: "106.14.125.177"
2017/12/01 15:10:20 [error] 12328#0: *9 open() "/root/git/GOF_platform/gametest/statics/style/index.css" failed (13: Permission denied), client: 121.250.223.29, server: localhost, request: "GET /statics/style/index.css HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 15:10:20 [error] 12328#0: *1 open() "/root/git/GOF_platform/gametest/statics/js/index.js" failed (13: Permission denied), client: 121.250.223.29, server: localhost, request: "GET /statics/js/index.js HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 15:10:20 [error] 12328#0: *11 open() "/root/git/GOF_platform/gametest/statics/images/user.png" failed (13: Permission denied), client: 121.250.223.29, server: localhost, request: "GET /statics/images/user.png HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 15:10:20 [error] 12328#0: *10 open() "/root/git/GOF_platform/gametest/statics/images/lock.png" failed (13: Permission denied), client: 121.250.223.29, server: localhost, request: "GET /statics/images/lock.png HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 15:10:20 [error] 12328#0: *8 open() "/root/git/GOF_platform/gametest/statics/js/jquery-3.1.1.min.js" failed (13: Permission denied), client: 121.250.223.29, server: localhost, request: "GET /statics/js/jquery-3.1.1.min.js HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 15:10:20 [error] 12328#0: *7 open() "/root/git/GOF_platform/gametest/statics/js/common.js" failed (13: Permission denied), client: 121.250.223.29, server: localhost, request: "GET /statics/js/common.js HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 15:10:20 [error] 12328#0: *9 open() "/root/git/GOF_platform/gametest/statics/images/button1.png" failed (13: Permission denied), client: 121.250.223.29, server: localhost, request: "GET /statics/images/button1.png HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 15:30:21 [error] 12414#0: *1 open() "/root/git/GOF_platform/gametest/statics/images/button1.png" failed (2: No such file or directory), client: 121.250.223.29, server: localhost, request: "GET /statics/images/button1.png HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 15:30:21 [error] 12414#0: *1 open() "/root/git/GOF_platform/gametest/statics/images/user.png" failed (2: No such file or directory), client: 121.250.223.29, server: localhost, request: "GET /statics/images/user.png HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
